broaderDe,id,notation,labelEn,labelDe,cnt,gndId,s
Holz,142033,PLW06-Hz02,,Balsaholz,12,4143961-2,http://zbw.eu/beta/pm20voc/ip/142033
Meeresprodukte,141959,PLW07-Mp01,Algae and seaweed,Algen und Seetang,30,4001173-2,http://zbw.eu/beta/pm20voc/ip/141959
Meeresprodukte,141941,PLW07-Mt01,Eel,Aal,14,4433645-7,http://zbw.eu/beta/pm20voc/ip/141941
Meeresprodukte,142019,PLW07-Mt02,,Auster,30,4131765-8,http://zbw.eu/beta/pm20voc/ip/142019
Abfall und Sekundärrohstoffe,141942,PRB01-01,Waste and scrap,Abfälle und Altmaterial,34,4396701-2,http://zbw.eu/beta/pm20voc/ip/141942
Bergbauprodukte,143120,PRB02.01,Coal,Kohle,159,4031687-7,http://zbw.eu/beta/pm20voc/ip/143120
Kohle,143123,PRB02.01-Ru,,Kohlenstoff (Ruß),23,4164538-8,http://zbw.eu/beta/pm20voc/ip/143123
Bergbauprodukte,218756,PRB02.01-St,,Kohlenstaub,10,4164535-2,http://zbw.eu/beta/pm20voc/ip/218756
Bergbauprodukte,218757,PRB02.01.01,,Kohleveredelung,8,4164493-1,http://zbw.eu/beta/pm20voc/ip/218757
Bergbauprodukte,142294,PRB02.06,Petroleum,Erdöl,1,,http://zbw.eu/beta/pm20voc/ip/142294
